w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,0,887.029,870.016,887.029,-17.013
0,0,0,0,0,1,0.076,0.075,35.718,32.539,0,894.845,877.250,894.845,-17.596
0,0,0,0,1,0,0.279,0.250,29.421,29.716,0,896.437,879.248,896.437,-17.189
0,0,0,0,1,1,0.235,0.200,23.727,22.144,0,902.473,886.890,902.473,-15.584
0,0,0,1,0,0,0.282,0.300,27.874,19.717,0,890.842,873.532,890.842,-17.310
0,0,0,1,0,1,0.238,0.225,38.157,35.858,0,901.374,884.569,901.374,-16.805
0,0,0,1,1,0,0.425,0.400,25.850,26.113,0,901.025,883.202,901.025,-17.823
0,0,0,1,1,1,0.504,0.450,25.444,19.414,0,908.686,896.159,908.686,-12.528
0,0,1,0,0,0,0.086,0.075,45.212,42.627,0,902.470,872.153,902.470,-30.317
0,0,1,0,0,1,0.058,0.050,38.316,38.591,0,908.550,873.873,908.550,-34.677
0,0,1,0,1,0,0.256,0.225,44.326,35.768,0,912.649,882.425,912.649,-30.223
0,0,1,0,1,1,0.184,0.175,30.370,28.196,0,918.584,881.922,918.584,-36.662
0,0,1,1,0,0,0.249,0.275,32.767,25.769,0,907.304,876.780,907.304,-30.524
0,0,1,1,0,1,0.212,0.200,38.051,41.910,0,915.445,880.055,915.445,-35.390
0,0,1,1,1,0,0.448,0.375,39.562,32.166,0,918.129,890.151,918.129,-27.978
0,0,1,1,1,1,0.494,0.425,33.392,25.466,0,925.686,893.458,925.686,-32.227
0,1,0,0,0,0,0.256,0.250,43.985,48.660,0,903.436,881.166,903.436,-22.270
0,1,0,0,0,1,0.255,0.225,41.673,44.625,0,908.183,888.502,908.183,-19.681
0,1,0,0,1,0,0.459,0.400,39.962,41.802,0,911.028,892.025,911.028,-19.003
0,1,0,0,1,1,0.404,0.350,34.769,34.230,0,913.991,896.126,913.991,-17.865
0,1,0,1,0,0,0.487,0.450,43.884,31.803,0,906.937,892.556,906.937,-14.381
0,1,0,1,0,1,0.355,0.375,46.275,47.944,0,916.757,894.752,916.757,-22.005
0,1,0,1,1,0,0.545,0.550,39.952,38.200,0,917.387,896.389,917.387,-20.998
0,1,0,1,1,1,0.613,0.600,40.515,31.500,0,922.264,908.015,922.264,-14.249
0,1,1,0,0,0,0.213,0.200,34.686,35.493,0,906.598,893.426,906.598,-13.172
0,1,1,0,0,1,0.197,0.175,33.040,31.457,0,908.809,898.521,908.809,-10.289
0,1,1,0,1,0,0.339,0.350,29.832,28.634,0,910.051,899.765,910.051,-10.287
0,1,1,0,1,1,0.278,0.300,26.250,21.062,0,912.380,909.026,912.380,-3.354
0,1,1,1,0,0,0.403,0.400,23.731,18.635,0,907.809,895.620,907.809,-12.189
0,1,1,1,0,1,0.313,0.325,47.022,34.776,0,914.852,906.327,914.852,-8.524
0,1,1,1,1,0,0.499,0.500,24.336,25.032,0,914.556,903.244,914.556,-11.312
0,1,1,1,1,1,0.549,0.550,24.655,18.332,0,916.528,913.562,916.528,-2.966
1,0,0,0,0,0,0.337,0.300,38.305,30.400,0,894.047,878.920,894.047,-15.127
1,0,0,0,0,1,0.255,0.275,35.973,26.365,0,900.856,884.783,900.856,-16.073
1,0,0,0,1,0,0.473,0.450,33.072,23.541,0,901.697,888.237,901.697,-13.460
1,0,0,0,1,1,0.378,0.400,18.447,15.969,0,905.957,889.361,905.957,-16.596
1,0,0,1,0,0,0.479,0.500,15.662,13.542,0,893.254,874.367,893.254,-18.886
1,0,0,1,0,1,0.388,0.425,26.401,29.684,0,907.123,886.624,907.123,-20.499
1,0,0,1,1,0,0.635,0.600,17.901,19.939,0,904.639,885.290,904.639,-19.349
1,0,0,1,1,1,0.674,0.650,18.801,13.239,0,910.080,897.277,910.080,-12.804
1,0,1,0,0,0,0.244,0.225,40.122,31.442,0,907.056,878.412,907.056,-28.643
1,0,1,0,0,1,0.194,0.200,28.765,27.406,0,912.544,877.536,912.544,-35.008
1,0,1,0,1,0,0.440,0.375,23.590,24.583,0,915.285,882.719,915.285,-32.566
1,0,1,0,1,1,0.345,0.325,20.101,17.011,0,919.906,883.586,919.906,-36.320
1,0,1,1,0,0,0.430,0.425,16.415,14.584,0,907.124,876.061,907.124,-31.064
1,0,1,1,0,1,0.397,0.350,38.761,30.725,0,918.259,887.791,918.259,-30.467
1,0,1,1,1,0,0.548,0.525,21.708,20.981,0,918.547,885.002,918.547,-33.545
1,0,1,1,1,1,0.581,0.575,17.260,14.281,0,923.802,887.156,923.802,-36.646
1,1,0,0,0,0,0.437,0.400,29.314,27.183,0,903.160,883.722,903.160,-19.438
1,1,0,0,0,1,0.385,0.375,24.974,23.148,0,907.458,888.098,907.458,-19.360
1,1,0,0,1,0,0.529,0.550,22.543,20.324,0,907.556,886.383,907.556,-21.172
1,1,0,0,1,1,0.502,0.500,18.708,12.752,0,909.199,891.961,909.199,-17.238
1,1,0,1,0,0,0.648,0.600,15.923,10.325,0,899.837,882.372,899.837,-17.465
1,1,0,1,0,1,0.618,0.525,23.831,26.466,0,913.309,894.269,913.309,-19.039
1,1,0,1,1,0,0.793,0.700,24.156,16.722,0,910.153,896.513,910.153,-13.640
1,1,0,1,1,1,0.753,0.750,13.298,10.022,0,911.693,893.896,911.693,-17.797
1,1,1,0,0,0,0.525,0.450,49.029,53.477,0,924.634,911.807,924.634,-12.827
1,1,1,0,0,1,0.502,0.425,62.495,49.442,0,924.726,922.354,924.726,-2.372
1,1,1,0,1,0,0.710,0.600,49.151,46.619,0,931.352,927.880,931.352,-3.472
1,1,1,0,1,1,0.550,0.550,36.767,39.047,0,927.921,920.241,927.921,-7.679
1,1,1,1,0,0,0.756,0.650,47.477,36.620,0,925.227,921.975,925.227,-3.252
1,1,1,1,0,1,0.541,0.575,48.539,52.761,0,934.296,917.086,934.296,-17.210
